#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 08 30 12 56  20  3.6   MM    MM    MM    MM  MM 1011.5  21.7    MM  17.2   MM   MM    MM
2013 08 30 11 56  MM    0   MM    MM    MM    MM  MM 1011.1  19.4    MM  17.2   MM   MM    MM
2013 08 30 10 56  MM  1.5   MM    MM    MM    MM  MM 1010.3  20.6    MM  17.8   MM   MM    MM
2013 08 30 09 56  MM  2.6   MM    MM    MM    MM  MM 1009.6  20.6    MM  18.9   MM   MM    MM
2013 08 30 08 56  MM    0   MM    MM    MM    MM  MM 1008.1  19.4    MM  17.8   MM   MM    MM
2013 08 30 07 56  MM    0   MM    MM    MM    MM  MM 1007.9  18.3    MM  17.8   MM   MM    MM
2013 08 30 06 56  MM    0   MM    MM    MM    MM  MM 1008.1  17.8    MM  17.2   MM   MM    MM
2013 08 30 05 56  MM    0   MM    MM    MM    MM  MM 1007.5  18.9    MM  18.3   MM   MM    MM
2013 08 30 04 56  MM    0   MM    MM    MM    MM  MM 1007.6  18.3    MM  17.8   MM   MM    MM
2013 08 30 03 56 200  1.5   MM    MM    MM    MM  MM 1008.5  18.9    MM  17.8   MM   MM    MM
2013 08 30 02 56  50  4.1   MM    MM    MM    MM  MM 1007.4  19.4    MM  18.3   MM   MM    MM
2013 08 30 01 56  70  2.1   MM    MM    MM    MM  MM 1009.0  19.4    MM  18.3   MM   MM    MM
2013 08 30 00 56  60  1.5   MM    MM    MM    MM  MM 1009.3  19.4    MM  18.3   MM   MM    MM
2013 08 29 23 56  80  2.1   MM    MM    MM    MM  MM 1011.0  20.0    MM  18.9   MM   MM    MM
2013 08 29 22 56  MM    0   MM    MM    MM    MM  MM 1011.5  20.0    MM  18.9   MM   MM    MM
2013 08 29 21 56  MM    0   MM    MM    MM    MM  MM 1012.0  21.1    MM  20.0   MM   MM    MM
2013 08 29 20 56  MM    0   MM    MM    MM    MM  MM 1012.5  19.4    MM  18.9   MM   MM    MM
2013 08 29 19 56  MM    0   MM    MM    MM    MM  MM 1014.6  19.4    MM  18.9   MM   MM    MM
2013 08 29 18 56 220  2.1   MM    MM    MM    MM  MM 1015.2  20.0    MM  18.9   MM   MM    MM
2013 08 29 17 56  MM    0   MM    MM    MM    MM  MM 1014.3  21.1    MM  18.9   MM   MM    MM
2013 08 29 16 56  MM    0   MM    MM    MM    MM  MM 1015.0  21.1    MM  18.3   MM   MM    MM
2013 08 29 15 56  MM    0   MM    MM    MM    MM  MM 1015.0  21.7    MM  17.8   MM   MM    MM
2013 08 29 14 56  MM    0   MM    MM    MM    MM  MM 1015.5  20.6    MM  17.8   MM   MM    MM
2013 08 29 13 56  MM    0   MM    MM    MM    MM  MM 1015.4  21.7    MM  17.8   MM   MM    MM
2013 08 29 12 56  70  1.5   MM    MM    MM    MM  MM 1015.5  21.1    MM  18.3   MM   MM    MM
2013 08 29 11 56  MM    0   MM    MM    MM    MM  MM 1015.9  18.3    MM  16.7   MM   MM    MM
2013 08 29 10 56  MM    0   MM    MM    MM    MM  MM 1015.5  17.8    MM  16.1   MM   MM    MM
2013 08 29 09 56  MM    0   MM    MM    MM    MM  MM 1015.2  18.9    MM  17.2   MM   MM    MM
2013 08 29 08 56  MM    0   MM    MM    MM    MM  MM 1015.3  18.3    MM  17.2   MM   MM    MM
2013 08 29 07 56  MM    0   MM    MM    MM    MM  MM 1015.3  17.8    MM  16.7   MM   MM    MM
2013 08 29 06 56 260  1.5   MM    MM    MM    MM  MM 1015.8  18.3    MM  16.7   MM   MM    MM
2013 08 29 05 56  MM    0   MM    MM    MM    MM  MM 1015.8  18.9    MM  17.2   MM   MM    MM
2013 08 29 04 56 250  2.1   MM    MM    MM    MM  MM 1015.6  18.3    MM  16.7   MM   MM    MM
2013 08 29 03 56  MM    0   MM    MM    MM    MM  MM 1015.9  18.3    MM  16.7   MM   MM    MM
2013 08 29 02 56  MM    0   MM    MM    MM    MM  MM 1015.8  17.8    MM  16.7   MM   MM    MM
2013 08 29 01 56  MM    0   MM    MM    MM    MM  MM 1015.7  18.9    MM  17.2   MM   MM    MM
2013 08 29 00 56 250  1.5   MM    MM    MM    MM  MM 1015.7  18.9    MM  17.2   MM   MM    MM
2013 08 28 23 56  MM    0   MM    MM    MM    MM  MM 1015.5  19.4    MM  17.2   MM   MM    MM
2013 08 28 22 56  MM    0   MM    MM    MM    MM  MM 1015.7  19.4    MM  17.2   MM   MM    MM
2013 08 28 21 56  MM    0   MM    MM    MM    MM  MM 1015.6  21.1    MM  17.2   MM   MM    MM
2013 08 28 20 56  MM    0   MM    MM    MM    MM  MM 1015.5  21.1    MM  18.3   MM   MM    MM
2013 08 28 19 56 250  2.1   MM    MM    MM    MM  MM 1016.0  20.6    MM  17.8   MM   MM    MM
2013 08 28 18 56 240  2.1   MM    MM    MM    MM  MM 1016.5  18.9    MM  16.7   MM   MM    MM
2013 08 28 17 56 240  3.1   MM    MM    MM    MM  MM 1016.5  19.4    MM  16.7   MM   MM    MM
2013 08 28 16 56 220  2.6   MM    MM    MM    MM  MM 1016.7  18.9    MM  16.1   MM   MM    MM
2013 08 28 15 56 160  1.5   MM    MM    MM    MM  MM 1016.6  18.9    MM  16.1   MM   MM    MM
2013 08 28 14 56  MM    0   MM    MM    MM    MM  MM 1016.3  20.0    MM  15.6   MM   MM    MM
2013 08 28 13 56  MM    0   MM    MM    MM    MM  MM 1016.3  19.4    MM  15.0   MM   MM    MM
2013 08 28 12 56 100  1.5   MM    MM    MM    MM  MM 1015.6  18.9    MM  14.4   MM   MM    MM
2013 08 28 11 56  MM    0   MM    MM    MM    MM  MM 1015.1  16.1    MM  14.4   MM   MM    MM
2013 08 28 10 56  MM    0   MM    MM    MM    MM  MM 1014.5  16.1    MM  13.9   MM   MM    MM
2013 08 28 09 56  MM    0   MM    MM    MM    MM  MM 1013.9  15.6    MM  14.4   MM   MM    MM
2013 08 28 08 56 330  1.5   MM    MM    MM    MM  MM 1013.6  16.1    MM  14.4   MM   MM    MM
2013 08 28 07 56  MM    0   MM    MM    MM    MM  MM 1013.3  16.1    MM  14.4   MM   MM    MM
2013 08 28 06 56  MM    0   MM    MM    MM    MM  MM 1013.3  16.1    MM  14.4   MM   MM    MM
2013 08 28 05 56  MM    0   MM    MM    MM    MM  MM 1013.7  16.1    MM  15.0   MM   MM    MM
2013 08 28 04 56  MM    0   MM    MM    MM    MM  MM 1013.4  16.7    MM  15.0   MM   MM    MM
2013 08 28 03 56  MM    0   MM    MM    MM    MM  MM 1013.1  17.2    MM  15.6   MM   MM    MM
2013 08 28 02 56  MM    0   MM    MM    MM    MM  MM 1013.1  17.2    MM  15.6   MM   MM    MM
2013 08 28 01 56  MM    0   MM    MM    MM    MM  MM 1012.8  16.7    MM  15.0   MM   MM    MM
2013 08 28 00 56  MM    0   MM    MM    MM    MM  MM 1012.2  17.8    MM  15.6   MM   MM    MM
2013 08 27 23 56  70  1.5   MM    MM    MM    MM  MM 1012.1  18.9    MM  15.6   MM   MM    MM
2013 08 27 22 56  90  1.5   MM    MM    MM    MM  MM 1012.0  19.4    MM  15.6   MM   MM    MM
2013 08 27 21 56  70  1.5   MM    MM    MM    MM  MM 1011.9  20.0    MM  15.6   MM   MM    MM
2013 08 27 20 56  80  2.1   MM    MM    MM    MM  MM 1011.3  19.4    MM  15.6   MM   MM    MM
2013 08 27 19 56  70  1.5   MM    MM    MM    MM  MM 1011.2  18.9    MM  15.6   MM   MM    MM
2013 08 27 18 56  60  3.1   MM    MM    MM    MM  MM 1011.0  18.9    MM  15.0   MM   MM    MM
2013 08 27 17 56  70  3.6   MM    MM    MM    MM  MM 1011.6  18.9    MM  15.6   MM   MM    MM
2013 08 27 16 56  80  3.1   MM    MM    MM    MM  MM 1011.4  19.4    MM  15.6   MM   MM    MM
2013 08 27 15 56  80  2.1   MM    MM    MM    MM  MM 1011.2  18.9    MM  16.1   MM   MM    MM
2013 08 27 14 56  MM    0   MM    MM    MM    MM  MM 1011.1  19.4    MM  17.2   MM   MM    MM
2013 08 27 13 56  MM    0   MM    MM    MM    MM  MM 1010.8  17.2    MM  16.1   MM   MM    MM
2013 08 27 12 56 160  1.5   MM    MM    MM    MM  MM 1011.0  15.6    MM  15.0   MM   MM    MM
2013 08 27 11 56  60  1.5   MM    MM    MM    MM  MM 1010.7  15.0    MM  14.4   MM   MM    MM
2013 08 27 10 56  MM    0   MM    MM    MM    MM  MM 1010.4  16.7    MM  15.6   MM   MM    MM
2013 08 27 09 56  MM    0   MM    MM    MM    MM  MM 1010.2  15.6    MM  14.4   MM   MM    MM
2013 08 27 08 56  MM    0   MM    MM    MM    MM  MM 1010.1  17.2    MM  16.1   MM   MM    MM
2013 08 27 07 56  70  2.1   MM    MM    MM    MM  MM 1010.2  18.3    MM  17.2   MM   MM    MM
2013 08 27 06 56  MM    0   MM    MM    MM    MM  MM 1010.5  17.8    MM  17.2   MM   MM    MM
2013 08 27 05 56  MM    0   MM    MM    MM    MM  MM 1011.5  18.3    MM  17.2   MM   MM    MM
2013 08 27 04 56  MM    0   MM    MM    MM    MM  MM 1012.0  18.3    MM  17.8   MM   MM    MM
2013 08 27 03 56  50  2.1   MM    MM    MM    MM  MM 1012.1  18.3    MM  16.7   MM   MM    MM
2013 08 27 02 56  MM    0   MM    MM    MM    MM  MM 1013.1  16.7    MM  15.6   MM   MM    MM
2013 08 27 01 56  MM    0   MM    MM    MM    MM  MM 1013.1  18.3    MM  17.2   MM   MM    MM
2013 08 27 00 56  MM    0   MM    MM    MM    MM  MM 1013.3  18.3    MM  17.2   MM   MM    MM
2013 08 26 23 56  60  1.5   MM    MM    MM    MM  MM 1013.0  18.9    MM  17.2   MM   MM    MM
2013 08 26 22 56  70  2.1   MM    MM    MM    MM  MM 1012.3  21.1    MM  18.9   MM   MM    MM
2013 08 26 21 56  MM    0   MM    MM    MM    MM  MM 1013.3  21.7    MM  17.8   MM   MM    MM
2013 08 26 20 56  MM    0   MM    MM    MM    MM  MM 1012.7  21.7    MM  17.8   MM   MM    MM
2013 08 26 19 56  MM    0   MM    MM    MM    MM  MM 1013.0  21.7    MM  17.2   MM   MM    MM
2013 08 26 18 56  MM    0   MM    MM    MM    MM  MM 1013.7  20.0    MM  16.7   MM   MM    MM
2013 08 26 17 56  MM    0   MM    MM    MM    MM  MM 1014.1  20.6    MM  17.2   MM   MM    MM
2013 08 26 16 56 120  2.1   MM    MM    MM    MM  MM 1013.7  24.4    MM  19.4   MM   MM    MM
2013 08 26 15 56  MM    0   MM    MM    MM    MM  MM 1013.6  25.0    MM  20.0   MM   MM    MM
2013 08 26 14 56  MM    0   MM    MM    MM    MM  MM 1014.1  18.9    MM  15.6   MM   MM    MM
2013 08 26 13 56  MM    0   MM    MM    MM    MM  MM 1013.7  18.3    MM  14.4   MM   MM    MM
2013 08 26 12 56  MM  2.1   MM    MM    MM    MM  MM 1013.6  18.3    MM  15.6   MM   MM    MM
2013 08 26 11 56 260  2.1   MM    MM    MM    MM  MM 1013.4  14.4    MM  13.9   MM   MM    MM
2013 08 26 10 56 150  2.1   MM    MM    MM    MM  MM 1012.9  17.2    MM  16.7   MM   MM    MM
2013 08 26 09 56  MM    0   MM    MM    MM    MM  MM 1012.5  16.7    MM  15.6   MM   MM    MM
2013 08 26 08 56  MM    0   MM    MM    MM    MM  MM 1012.6  18.9    MM  17.2   MM   MM    MM
2013 08 26 07 56 240  1.5   MM    MM    MM    MM  MM 1011.6  16.7    MM  15.6   MM   MM    MM
2013 08 26 06 56  MM    0   MM    MM    MM    MM  MM 1011.0  16.7    MM  15.6   MM   MM    MM
2013 08 26 05 56 260  1.5   MM    MM    MM    MM  MM 1011.9  16.1    MM  14.4   MM   MM    MM
2013 08 26 04 56 270  2.6   MM    MM    MM    MM  MM 1011.2  22.2    MM  19.4   MM   MM    MM
2013 08 26 03 56  MM    0   MM    MM    MM    MM  MM 1010.6  23.9    MM  21.1   MM   MM    MM
2013 08 26 02 56  MM    0   MM    MM    MM    MM  MM 1010.9  18.9    MM  16.1   MM   MM    MM
2013 08 26 01 56  MM    0   MM    MM    MM    MM  MM 1011.4  19.4    MM  17.2   MM   MM    MM
