#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 08 31 12 50 180  3.0  4.0   0.3     4   3.9  68 1011.9  13.8  13.6    MM   MM -0.0    MM
2013 08 31 11 50 170  2.0  2.0   0.3     5   3.7  59 1012.0  13.8  13.9    MM   MM -0.3    MM
2013 08 31 10 50 160  3.0  3.0   0.3     5   3.6  54 1011.5  13.7  14.2    MM   MM -1.3    MM
2013 08 31 09 50 130  2.0  3.0   0.4     5   3.6  43 1012.1  14.0  14.4    MM   MM -1.4    MM
2013 08 31 08 50 110  2.0  3.0   0.4     5   3.7  43 1012.3  14.0  14.5    MM   MM -1.1    MM
2013 08 31 07 50  60  2.0  3.0   0.5     5   3.8  49 1012.8  14.4  14.6    MM   MM -1.2    MM
2013 08 31 06 50  50  3.0  4.0   0.6     4   3.7  46 1013.5  14.4  14.7    MM   MM -0.6    MM
2013 08 31 05 50  70  4.0  5.0   0.7     5   3.7  39 1013.4  14.3  14.7    MM   MM +0.0    MM
2013 08 31 04 50  60  5.0  7.0   0.7     4   3.7  47 1014.0  14.4  14.7    MM   MM -0.0    MM
2013 08 31 03 50  60  7.0  8.0   0.7     4   3.7  45 1014.1  14.7  14.6    MM   MM -0.0    MM
2013 08 31 02 50  60  8.0  9.0   0.7     4   3.5  32 1013.6  15.0  14.5    MM   MM +0.0    MM
2013 08 31 01 50  50  6.0  8.0   0.6     4   3.4  43 1014.0  15.3  14.4    MM   MM +0.3    MM
2013 08 31 00 50  40  6.0  7.0   0.5     4   3.3  50 1014.0  15.8  14.4    MM   MM +0.6    MM
2013 08 30 23 50  40  4.0  5.0   0.4     4   3.1  49 1013.7  15.9  14.5    MM   MM +0.6    MM
2013 08 30 22 50  30  5.0  6.0   0.4     4   3.3  62 1013.7  16.3  14.6    MM   MM +0.5    MM
2013 08 30 21 50  10  5.0  6.0   0.4     3   3.1  13 1013.4  16.6  14.7    MM   MM +0.3    MM
2013 08 30 20 50 350  6.0  6.0   0.4     3   3.1   8 1013.1  16.8  14.9    MM   MM +0.3    MM
2013 08 30 19 50 340  7.0  8.0   0.4     3   3.2  62 1013.2  17.3  15.1    MM   MM +1.1    MM
2013 08 30 18 50 350  5.0  6.0   0.5     4   3.3  57 1013.1  17.1  15.3    MM   MM +1.3    MM
2013 08 30 17 50 350  4.0  5.0   0.5     3   3.2  36 1012.8  17.0  15.5    MM   MM +2.1    MM
2013 08 30 16 50 350  6.0  6.0   0.5     3   3.3   5 1012.1  17.1  15.5    MM   MM +2.7    MM
2013 08 30 15 50 350  5.0  6.0   0.6     4   3.2  63 1011.8  16.9  15.6    MM   MM +2.9    MM
2013 08 30 14 50 360  8.0  9.0   0.6     4   3.4  44 1010.7  16.7  15.7    MM   MM +2.4    MM
2013 08 30 13 50  10  7.0  8.0   0.7     4   3.6  49 1009.4  16.7  15.8    MM   MM +1.7    MM
2013 08 30 12 50  20  7.0  8.0   0.8     4   3.6  39 1008.9  16.5  15.6    MM   MM +2.2    MM
2013 08 30 11 50  30  9.0 10.0   0.8     4   3.5  40 1008.3  16.5  15.1    MM   MM +2.0    MM
2013 08 30 10 50  20 10.0 12.0   0.6     4   3.2  74 1007.7  16.5  14.8    MM   MM +1.5    MM
2013 08 30 09 50  20  5.0  6.0   0.5     4   3.5  95 1006.7  15.9  14.7    MM   MM -0.0    MM
2013 08 30 08 50 200  4.0  4.0   0.6     4   3.4 103 1006.3  16.4  14.8    MM   MM   MM    MM
2013 08 30 07 50 150  6.0  7.0   0.6     3   3.2 112 1006.2  16.1  14.9    MM   MM   MM    MM
2013 08 30 06 50 130  9.0 10.0   0.6     3   3.0  88 1006.7  16.5  15.2    MM   MM -4.0    MM
2013 08 30 03 50  70  6.0  7.0   0.1    MM   2.3  MM 1010.7  16.7  15.8    MM   MM -1.3    MM
